NAME,B19013_001E,B19301_001E,B17001_002E,state,county
"Maricopa County, Arizona",80675,41533,503565,04,013
"Mohave County, Arizona",53592,32835,33597,04,015
"Navajo County, Arizona",50335,22826,26591,04,017
"Pima County, Arizona",64323,36494,151733,04,019
"Pinal County, Arizona",73313,33158,46424,04,021
"Santa Cruz County, Arizona",51885,25619,9622,04,023
"Yavapai County, Arizona",62430,37666,28765,04,025
"Yuma County, Arizona",56439,27516,34654,04,027
"Arkansas County, Arkansas",58695,28759,2816,05,001
"Ashley County, Arkansas",44804,25568,4390,05,003
"Baxter County, Arkansas",47403,30264,5587,05,005
"Benton County, Arkansas",85269,43359,22289,05,007
"Boone County, Arkansas",52275,28886,4869,05,009
"Bradley County, Arkansas",43688,23830,1570,05,011
"Calhoun County, Arkansas",60237,24047,574,05,013
"Carroll County, Arkansas",56826,29123,4329,05,015
"Chicot County, Arkansas",36593,24156,2618,05,017
"Clark County, Arkansas",48071,24532,3812,05,019
"Clay County, Arkansas",44685,26554,2789,05,021
"Cleburne County, Arkansas",52780,31041,3469,05,023
"Cleveland County, Arkansas",48913,26479,1013,05,025
"Columbia County, Arkansas",47441,27243,4675,05,027
"Conway County, Arkansas",50282,28694,4313,05,029
"Craighead County, Arkansas",55169,31298,20511,05,031
"Crawford County, Arkansas",56702,28920,10620,05,033
"Crittenden County, Arkansas",51860,27834,9305,05,035
"Cross County, Arkansas",48129,27776,3357,05,037
"Dallas County, Arkansas",40085,26378,723,05,039
"Desha County, Arkansas",38067,21588,3044,05,041
"Drew County, Arkansas",44968,27349,3513,05,043
"Faulkner County, Arkansas",61273,31301,18478,05,045
"Franklin County, Arkansas",47695,25517,3412,05,047
"Fulton County, Arkansas",38917,22895,1841,05,049
"Garland County, Arkansas",54229,31854,16604,05,051
"Grant County, Arkansas",68598,35170,2413,05,053
"Greene County, Arkansas",54879,26941,7892,05,055
"Hempstead County, Arkansas",45049,25577,4536,05,057
"Hot Spring County, Arkansas",50260,25486,6093,05,059
"Howard County, Arkansas",44824,25458,2301,05,061
"Independence County, Arkansas",52361,27867,7124,05,063
"Izard County, Arkansas",46159,25331,2503,05,065
"Jackson County, Arkansas",41929,23048,2957,05,067
"Jefferson County, Arkansas",46855,24571,11818,05,069
"Johnson County, Arkansas",42470,22457,5327,05,071
"Lafayette County, Arkansas",40262,23699,1328,05,073
"Lawrence County, Arkansas",43606,25301,2791,05,075
"Lee County, Arkansas",33801,20338,1964,05,077
"Lincoln County, Arkansas",50526,18191,1481,05,079
"Little River County, Arkansas",58627,28764,1394,05,081
"Logan County, Arkansas",51131,28495,3036,05,083
"Lonoke County, Arkansas",68078,32720,8680,05,085
"Madison County, Arkansas",51514,27709,2731,05,087
"Marion County, Arkansas",42891,25315,2970,05,089
"Miller County, Arkansas",47613,26572,8496,05,091
"Mississippi County, Arkansas",50012,27863,8599,05,093
"Monroe County, Arkansas",41786,24117,1592,05,095
"Montgomery County, Arkansas",47103,26815,1527,05,097
"Nevada County, Arkansas",43421,22041,2248,05,099
"Newton County, Arkansas",50699,26544,814,05,101
"Ouachita County, Arkansas",47348,25289,4230,05,103
"Perry County, Arkansas",53980,26967,1526,05,105
"Phillips County, Arkansas",37458,22644,4946,05,107
"Pike County, Arkansas",49248,28392,1745,05,109
"Poinsett County, Arkansas",43440,24807,4716,05,111
"Polk County, Arkansas",48449,30395,3393,05,113
"Pope County, Arkansas",51678,28018,10728,05,115
"Prairie County, Arkansas",47045,29018,797,05,117
"Pulaski County, Arkansas",58326,39146,64768,05,119
"Randolph County, Arkansas",45993,25528,3519,05,121
"St. Francis County, Arkansas",39822,20991,5659,05,123
"Saline County, Arkansas",73236,36151,11688,05,125
"Scott County, Arkansas",45340,23086,1677,05,127
"Searcy County, Arkansas",42063,22384,2054,05,129
"Sebastian County, Arkansas",54047,32577,20818,05,131
"Sevier County, Arkansas",53567,26369,3144,05,133
"Sharp County, Arkansas",43332,25283,2725,05,135
"Stone County, Arkansas",37664,21640,2603,05,137
"Union County, Arkansas",49745,29252,7135,05,139
"Van Buren County, Arkansas",45768,26183,2971,05,141
"Washington County, Arkansas",61985,34531,36258,05,143
"White County, Arkansas",51144,27364,11867,05,145
"Woodruff County, Arkansas",49608,29216,1146,05,147
"Yell County, Arkansas",55879,26044,2480,05,149
"Alameda County, California",122488,60193,149843,06,001
"Alpine County, California",101125,55425,208,06,003
"Amador County, California",74853,40379,2945,06,005
"Butte County, California",66085,36374,38015,06,007
"Calaveras County, California",77526,37935,5915,06,009
"Colusa County, California",69619,31915,2364,06,011
"Contra Costa County, California",120020,59083,95255,06,013
"Del Norte County, California",61149,28396,3585,06,015
"El Dorado County, California",99246,55455,16364,06,017
"Fresno County, California",67756,30130,193675,06,019
"Glenn County, California",64033,28106,4335,06,021
"Humboldt County, California",57881,33988,26394,06,023
"Imperial County, California",53847,21216,36092,06,025
"Inyo County, California",63417,36673,2199,06,027
"Kern County, California",63883,27976,170013,06,029
"Kings County, California",68540,26193,22634,06,031
"Lake County, California",56259,34020,11065,06,033
"Lassen County, California",59515,23646,3645,06,035
"Los Angeles County, California",83411,41847,1343978,06,037
"Madera County, California",73543,28158,30154,06,039
"Marin County, California",142019,87300,17809,06,041
"Mariposa County, California",60021,36106,2712,06,043
"Mendocino County, California",61335,34977,14483,06,045
"Merced County, California",64772,26869,51272,06,047
"Modoc County, California",54962,28860,1430,06,049
"Mono County, California",82038,43315,1478,06,051
"Monterey County, California",91043,37741,51913,06,053
"Napa County, California",105809,54306,10620,06,055
"Nevada County, California",79395,46706,10505,06,057
"Orange County, California",109361,50683,303810,06,059
"Placer County, California",109375,54004,27446,06,061
"Plumas County, California",67885,41701,2101,06,063
"Riverside County, California",84505,35356,272432,06,065
"Sacramento County, California",84010,39763,204388,06,067
"San Benito County, California",104451,40799,4832,06,069
"San Bernardino County, California",77423,31348,294246,06,071
"San Diego County, California",96974,46957,338752,06,073
"San Francisco County, California",136689,86186,87849,06,075
"San Joaquin County, California",82837,33870,98352,06,077
"San Luis Obispo County, California",90158,47390,33728,06,079
"San Mateo County, California",149907,77741,48137,06,081
"Santa Barbara County, California",92332,44635,57513,06,083
"Santa Clara County, California",153792,73017,129834,06,085
"Santa Cruz County, California",104409,52887,29302,06,087
"Shasta County, California",68347,36458,23753,06,089
"Sierra County, California",61108,37692,359,06,091
"Siskiyou County, California",53898,33650,7289,06,093
"Solano County, California",97037,42886,39705,06,095
"Sonoma County, California",99266,52523,42925,06,097
"Stanislaus County, California",74872,32044,75125,06,099
"Sutter County, California",72654,34039,13065,06,101
"Tehama County, California",59029,33800,10483,06,103
"Trinity County, California",47317,32856,3457,06,105
"Tulare County, California",64474,26282,86391,06,107
"Tuolumne County, California",70432,40095,5887,06,109
"Ventura County, California",102141,45846,74315,06,111
"Yolo County, California",85097,41703,36521,06,113
"Yuba County, California",66693,30036,12375,06,115
"Adams County, Colorado",86297,37550,49625,08,001
"Alamosa County, Colorado",52271,28945,2418,08,003
"Arapahoe County, Colorado",92292,49530,51766,08,005
"Archuleta County, Colorado",66813,39155,1092,08,007
"Baca County, Colorado",42115,28115,781,08,009
"Bent County, Colorado",45776,19041,1146,08,011
"Boulder County, Colorado",99770,57339,35674,08,013
"Broomfield County, Colorado",117541,60862,3679,08,014
"Chaffee County, Colorado",65703,38167,2137,08,015
"Cheyenne County, Colorado",65577,38791,183,08,017
"Clear Creek County, Colorado",87169,59550,617,08,019
"Conejos County, Colorado",44093,25240,1177,08,021
"Costilla County, Colorado",34578,24318,792,08,023
"Crowley County, Colorado",40685,20909,1076,08,025
"Custer County, Colorado",66250,37232,376,08,027
"Delta County, Colorado",56349,33055,4525,08,029
"Denver County, Colorado",85853,56381,81703,08,031
"Dolores County, Colorado",64708,38098,389,08,033
"Douglas County, Colorado",139010,63186,10799,08,035
"Eagle County, Colorado",98887,55007,4457,08,037
"Elbert County, Colorado",124360,55535,1124,08,039
"El Paso County, Colorado",82748,41444,65325,08,041
"Fremont County, Colorado",56165,28224,6081,08,043
"Garfield County, Colorado",82772,39024,4917,08,045
"Gilpin County, Colorado",95902,57593,538,08,047
"Grand County, Colorado",79367,43553,1345,08,049
"Gunnison County, Colorado",76538,44167,1746,08,051
"Hinsdale County, Colorado",58712,46944,67,08,053
"Huerfano County, Colorado",49631,29508,1390,08,055
"Jackson County, Colorado",38686,29657,299,08,057
"Jefferson County, Colorado",103167,54571,38194,08,059
"Kiowa County, Colorado",45250,27957,210,08,061
"Kit Carson County, Colorado",58992,36039,652,08,063
"Lake County, Colorado",78942,44794,527,08,065
"La Plata County, Colorado",81936,44614,6185,08,067
"Larimer County, Colorado",87199,46676,40057,08,069
"Las Animas County, Colorado",48965,29432,2627,08,071
"Lincoln County, Colorado",59167,27610,485,08,073
"Logan County, Colorado",54864,29440,2332,08,075
"Mesa County, Colorado",68077,36303,17446,08,077
"Mineral County, Colorado",58929,37647,89,08,079
"Moffat County, Colorado",63983,33019,1947,08,081
"Montezuma County, Colorado",61377,31044,3231,08,083
"Montrose County, Colorado",62817,35755,4904,08,085
"Morgan County, Colorado",70471,30422,3662,08,087
"Otero County, Colorado",47500,25789,4350,08,089
"Ouray County, Colorado",78750,47768,239,08,091
"Park County, Colorado",85019,48221,1185,08,093
"Phillips County, Colorado",58474,37996,612,08,095
"Pitkin County, Colorado",96123,87561,1150,08,097
"Prowers County, Colorado",49422,29026,2037,08,099
"Pueblo County, Colorado",59436,31513,27274,08,101
"Rio Blanco County, Colorado",69882,30140,799,08,103
"Rio Grande County, Colorado",57591,34328,1151,08,105
"Routt County, Colorado",95144,58304,1965,08,107
"Saguache County, Colorado",51946,34311,1123,08,109
"San Juan County, Colorado",67344,42678,132,08,111
"San Miguel County, Colorado",72829,55184,682,08,113
"Sedgwick County, Colorado",45855,32776,379,08,115
"Summit County, Colorado",100611,54935,2275,08,117
"Teller County, Colorado",69655,41836,1727,08,119
"Washington County, Colorado",59087,33374,446,08,121
"Weld County, Colorado",89182,39480,31432,08,123
"Yuma County, Colorado",60118,32575,1355,08,125
"Capitol Planning Region, Connecticut",88190,47802,101370,09,110
"Greater Bridgeport Planning Region, Connecticut",83147,48201,42156,09,120
"Lower Connecticut River Valley Planning Region, Connecticut",99742,54712,10964,09,130
"Naugatuck Valley Planning Region, Connecticut",82939,44275,45555,09,140
"Northeastern Connecticut Planning Region, Connecticut",83119,40723,8356,09,150
"Northwest Hills Planning Region, Connecticut",87971,52279,10462,09,160
"South Central Connecticut Planning Region, Connecticut",83617,46781,64563,09,170
"Southeastern Connecticut Planning Region, Connecticut",80330,43292,26614,09,180
"Western Connecticut Planning Region, Connecticut",118930,76090,45652,09,190
"Kent County, Delaware",69278,33191,21850,10,001
"New Castle County, Delaware",85309,44725,58355,10,003
"Sussex County, Delaware",75406,42958,27585,10,005
"District of Columbia, District of Columbia",101722,71297,98039,11,001
"Alachua County, Florida",57566,35684,53070,12,001
"Baker County, Florida",67872,28612,3398,12,003
"Bay County, Florida",65999,36868,21755,12,005
"Bradford County, Florida",54759,25276,4352,12,007
"Brevard County, Florida",71308,40111,60927,12,009
"Broward County, Florida",70331,39753,238880,12,011
"Calhoun County, Florida",41526,21324,2374,12,013
"Charlotte County, Florida",62164,38466,19490,12,015
"Citrus County, Florida",52569,33514,22833,12,017
"Clay County, Florida",82242,37334,20352,12,019
"Collier County, Florida",82011,56666,39131,12,021
"Columbia County, Florida",53501,28317,10196,12,023
"DeSoto County, Florida",45000,21726,8601,12,027
"Dixie County, Florida",45057,20508,2445,12,029
"Duval County, Florida",65579,37376,139341,12,031
"Escambia County, Florida",61642,33656,44874,12,033
"Flagler County, Florida",69251,40463,11382,12,035
"Franklin County, Florida",58107,31433,2325,12,037
"Gadsden County, Florida",45721,23898,10460,12,039
"Gilchrist County, Florida",56823,31477,2115,12,041
"Glades County, Florida",37221,23296,2382,12,043
"Gulf County, Florida",56250,30011,1522,12,045
"Hamilton County, Florida",47668,17331,2822,12,047
"Hardee County, Florida",44665,23380,6731,12,049
"Hendry County, Florida",49259,24825,8729,12,051
"Hernando County, Florida",59202,31516,24134,12,053
"Highlands County, Florida",53679,31864,15742,12,055
"Hillsborough County, Florida",70612,39509,197369,12,057
"Holmes County, Florida",46063,22860,2949,12,059
"Indian River County, Florida",67543,44102,18221,12,061
"Jackson County, Florida",46144,23210,7787,12,063
"Jefferson County, Florida",51573,29189,2414,12,065
"Lafayette County, Florida",57852,20073,1306,12,067
"Lake County, Florida",66239,35150,36977,12,069
"Lee County, Florida",69368,41332,89142,12,071
"Leon County, Florida",61317,36823,53940,12,073
"Levy County, Florida",49933,29042,6718,12,075
"Liberty County, Florida",51723,24080,1375,12,077
"Madison County, Florida",43386,22760,3611,12,079
"Manatee County, Florida",71385,41760,40670,12,081
"Marion County, Florida",55265,31086,52923,12,083
"Martin County, Florida",77894,50748,16391,12,085
"Miami-Dade County, Florida",64215,35563,403997,12,086
"Monroe County, Florida",80111,54630,9480,12,087
"Nassau County, Florida",84085,44483,8343,12,089
"Okaloosa County, Florida",73988,40002,20998,12,091
"Okeechobee County, Florida",50476,26904,7113,12,093
"Orange County, Florida",72629,37330,187454,12,095
"Osceola County, Florida",64312,28690,52441,12,097
"Palm Beach County, Florida",76066,48121,166938,12,099
"Pasco County, Florida",63187,35201,66197,12,101
"Pinellas County, Florida",66406,44020,107865,12,103
"Polk County, Florida",60901,30262,106728,12,105
"Putnam County, Florida",44852,25966,16506,12,107
"St. Johns County, Florida",100020,52096,18720,12,109
"St. Lucie County, Florida",66154,33847,41337,12,111
"Santa Rosa County, Florida",84715,39143,16407,12,113
"Sarasota County, Florida",77213,53149,35122,12,115
"Seminole County, Florida",79490,42281,44796,12,117
"Sumter County, Florida",70105,44431,11443,12,119
"Suwannee County, Florida",49729,24991,5999,12,121
"Taylor County, Florida",46239,26859,2777,12,123
"Union County, Florida",64043,24293,1656,12,125
"Volusia County, Florida",63075,35364,66328,12,127
"Wakulla County, Florida",72035,31683,1888,12,129
"Walton County, Florida",74832,45348,7898,12,131
"Washington County, Florida",47536,23984,5046,12,133
"Appling County, Georgia",43268,23940,4577,13,001
"Atkinson County, Georgia",38007,23066,2266,13,003
"Bacon County, Georgia",43938,24654,2278,13,005
"Baker County, Georgia",45417,23731,666,13,007
"Baldwin County, Georgia",54699,31681,8864,13,009
"Banks County, Georgia",69096,30024,2411,13,011
"Barrow County, Georgia",75053,30899,8009,13,013
"Bartow County, Georgia",74812,32102,11700,13,015
"Ben Hill County, Georgia",38255,22625,4442,13,017
"Berrien County, Georgia",48670,25100,4167,13,019
"Bibb County, Georgia",48897,30115,37641,13,021
"Bleckley County, Georgia",56021,28207,1906,13,023
"Brantley County, Georgia",40166,22767,2933,13,025
"Brooks County, Georgia",42263,28004,4277,13,027
"Bryan County, Georgia",90627,39829,3200,13,029
"Bulloch County, Georgia",53675,28484,16576,13,031
"Burke County, Georgia",50321,29735,4150,13,033
"Butts County, Georgia",60076,27875,3612,13,035
"Calhoun County, Georgia",48663,18074,1007,13,037
"Camden County, Georgia",68104,32712,8638,13,039
"Candler County, Georgia",45519,24477,1947,13,043
"Carroll County, Georgia",66895,30827,19641,13,045
"Catoosa County, Georgia",68896,33515,6012,13,047
"Charlton County, Georgia",45770,22742,2381,13,049
"Chatham County, Georgia",66171,37637,39871,13,051
"Chattahoochee County, Georgia",52943,23574,908,13,053
"Chattooga County, Georgia",43556,21576,4593,13,055
"Cherokee County, Georgia",100824,45334,17662,13,057
"Clarke County, Georgia",48692,30138,31528,13,059
"Clay County, Georgia",43264,22191,720,13,061
"Clayton County, Georgia",56207,25549,49313,13,063
"Clinch County, Georgia",53350,20294,2149,13,065
"Cobb County, Georgia",94244,48510,62536,13,067
"Coffee County, Georgia",48398,23839,8063,13,069
"Colquitt County, Georgia",47235,25766,11024,13,071
"Columbia County, Georgia",92571,40677,11234,13,073
"Cook County, Georgia",46706,24060,3694,13,075
"Coweta County, Georgia",90031,41373,12209,13,077
"Crawford County, Georgia",56948,31240,1987,13,079
"Crisp County, Georgia",47463,28063,4648,13,081
"Dade County, Georgia",59531,30078,985,13,083
"Dawson County, Georgia",84516,41096,2623,13,085
"Decatur County, Georgia",47383,24974,6805,13,087
"DeKalb County, Georgia",76044,43958,100326,13,089
"Dodge County, Georgia",46091,23137,4090,13,091
"Dooly County, Georgia",54109,27232,1942,13,093
"Dougherty County, Georgia",45640,26563,21493,13,095
"Douglas County, Georgia",76930,34010,16579,13,097
"Early County, Georgia",48355,25929,2356,13,099
"Echols County, Georgia",61184,24751,555,13,101
"Effingham County, Georgia",79474,36506,4290,13,103
"Elbert County, Georgia",48190,27848,3653,13,105
"Emanuel County, Georgia",47905,24696,4674,13,107
"Evans County, Georgia",55222,25580,2177,13,109
"Fannin County, Georgia",54857,36058,2973,13,111
"Fayette County, Georgia",105910,51004,6226,13,113
"Floyd County, Georgia",57868,30523,16534,13,115
"Forsyth County, Georgia",131660,54002,11591,13,117
"Franklin County, Georgia",52597,27671,4162,13,119
"Fulton County, Georgia",86267,58314,128777,13,121
"Gilmer County, Georgia",70334,34412,4634,13,123
"Glascock County, Georgia",60469,28733,438,13,125
"Glynn County, Georgia",65970,39221,13638,13,127
"Gordon County, Georgia",57555,29787,8014,13,129
"Grady County, Georgia",51929,26887,5121,13,131
"Greene County, Georgia",77527,51577,2434,13,133
"Gwinnett County, Georgia",82296,36778,96291,13,135
"Habersham County, Georgia",61292,29069,5942,13,137
"Hall County, Georgia",74153,35624,27392,13,139
"Hancock County, Georgia",31767,19730,1932,13,141
"Haralson County, Georgia",65940,31342,3737,13,143
"Harris County, Georgia",85936,39851,2588,13,145
"Hart County, Georgia",61765,30636,2742,13,147
"Heard County, Georgia",62965,32386,1887,13,149
"Henry County, Georgia",79663,35065,20180,13,151
"Houston County, Georgia",76968,35223,15791,13,153
"Irwin County, Georgia",46383,23794,2028,13,155
"Jackson County, Georgia",82056,34703,6198,13,157
"Jasper County, Georgia",57374,31026,1963,13,159
"Jeff Davis County, Georgia",41780,22065,3326,13,161
"Jefferson County, Georgia",46865,25820,2925,13,163
"Jenkins County, Georgia",31463,19360,2163,13,165
"Johnson County, Georgia",47796,23878,1762,13,167
"Jones County, Georgia",66288,31934,4016,13,169
"Lamar County, Georgia",64966,30978,1967,13,171
"Lanier County, Georgia",39971,22128,3114,13,173
"Laurens County, Georgia",46776,27565,11823,13,175
"Lee County, Georgia",83632,34074,2802,13,177
"Liberty County, Georgia",55149,26121,9676,13,179
"Lincoln County, Georgia",50754,28414,1388,13,181
"Long County, Georgia",56819,26995,2594,13,183
"Lowndes County, Georgia",52821,27553,23507,13,185
"Lumpkin County, Georgia",67592,33322,4556,13,187
"McDuffie County, Georgia",54752,28259,3430,13,189
"McIntosh County, Georgia",51262,28773,2240,13,191
"Macon County, Georgia",33960,22681,2651,13,193
"Madison County, Georgia",53626,27769,6203,13,195
"Marion County, Georgia",48836,24727,916,13,197
"Meriwether County, Georgia",52392,25784,4540,13,199
"Miller County, Georgia",52132,29135,1411,13,201
"Mitchell County, Georgia",45966,24705,5658,13,205
"Monroe County, Georgia",74867,40063,3708,13,207
"Montgomery County, Georgia",49138,27994,1312,13,209
"Morgan County, Georgia",81524,38932,1715,13,211
"Murray County, Georgia",60617,27383,5165,13,213
"Muscogee County, Georgia",54561,30980,37204,13,215
"Newton County, Georgia",70732,30101,14935,13,217
"Oconee County, Georgia",116221,53848,1862,13,219
"Oglethorpe County, Georgia",66672,30225,1646,13,221
"Paulding County, Georgia",89237,35242,11309,13,223
"Peach County, Georgia",60940,31349,5463,13,225
"Pickens County, Georgia",72558,37686,4469,13,227
"Pierce County, Georgia",54861,26392,2992,13,229
"Pike County, Georgia",83866,35993,1531,13,231
"Polk County, Georgia",51956,26843,7337,13,233
"Pulaski County, Georgia",42545,23007,1627,13,235
"Putnam County, Georgia",60825,42468,3528,13,237
"Quitman County, Georgia",38889,22189,333,13,239
"Rabun County, Georgia",57261,35889,2397,13,241
"Randolph County, Georgia",24638,18208,1739,13,243
"Richmond County, Georgia",50605,28480,40606,13,245
"Rockdale County, Georgia",68999,33481,10539,13,247
"Schley County, Georgia",53274,24255,727,13,249
"Screven County, Georgia",49941,28356,2511,13,251
"Seminole County, Georgia",46063,36184,1890,13,253
"Spalding County, Georgia",57367,35823,12412,13,255
"Stephens County, Georgia",52901,26620,3289,13,257
"Stewart County, Georgia",43094,21096,746,13,259
"Sumter County, Georgia",38899,23891,6666,13,261
"Talbot County, Georgia",48065,28528,1057,13,263
"Taliaferro County, Georgia",45881,24766,308,13,265
"Tattnall County, Georgia",51868,21842,3864,13,267
"Taylor County, Georgia",40727,24453,2211,13,269
"Telfair County, Georgia",41801,17162,3138,13,271
"Terrell County, Georgia",43507,24200,2589,13,273
"Thomas County, Georgia",55958,32414,8420,13,275
"Tift County, Georgia",52561,27987,8245,13,277
"Toombs County, Georgia",47310,27912,5760,13,279
"Towns County, Georgia",55574,33443,1786,13,281
"Treutlen County, Georgia",38641,27309,1700,13,283
"Troup County, Georgia",53599,29562,13008,13,285
"Turner County, Georgia",39666,21771,1928,13,287
"Twiggs County, Georgia",50446,32105,1232,13,289
"Union County, Georgia",59783,37709,2845,13,291
"Upson County, Georgia",48740,27906,6007,13,293
"Walker County, Georgia",52276,28554,9114,13,295
"Walton County, Georgia",79425,34295,12597,13,297
"Ware County, Georgia",44138,23319,7920,13,299
"Warren County, Georgia",45091,24249,1175,13,301
"Washington County, Georgia",43810,23687,3045,13,303
"Wayne County, Georgia",49847,24838,5150,13,305
"Webster County, Georgia",35000,22246,655,13,307
"Wheeler County, Georgia",36354,17980,1856,13,309
"White County, Georgia",66256,32311,3561,13,311
"Whitfield County, Georgia",59659,28594,13695,13,313
"Wilcox County, Georgia",46759,19237,1608,13,315
"Wilkes County, Georgia",51780,29042,1694,13,317
"Wilkinson County, Georgia",40757,24070,1896,13,319
"Worth County, Georgia",56496,28119,3982,13,321
"Hawaii County, Hawaii",74238,37236,28162,15,001
"Honolulu County, Hawaii",99816,44026,86612,15,003
"Kalawao County, Hawaii",87813,54390,7,15,005
"Kauai County, Hawaii",88869,39372,6040,15,007
"Maui County, Hawaii",95379,42607,15120,15,009
"Ada County, Idaho",83881,44645,42460,16,001
"Adams County, Idaho",55891,35844,645,16,003
"Bannock County, Idaho",60998,30257,10541,16,005
"Bear Lake County, Idaho",63244,30266,671,16,007
"Benewah County, Idaho",54191,28420,1390,16,009
"Bingham County, Idaho",69433,29421,4939,16,011
"Blaine County, Idaho",81794,47151,1674,16,013
"Boise County, Idaho",70776,36518,733,16,015
"Bonner County, Idaho",61816,35275,5621,16,017
"Bonneville County, Idaho",73103,33008,11641,16,019
"Boundary County, Idaho",58810,27287,2247,16,021
"Butte County, Idaho",37358,26987,568,16,023
"Camas County, Idaho",63750,34790,76,16,025
"Canyon County, Idaho",68473,28569,23412,16,027
"Caribou County, Idaho",65380,29819,468,16,029
"Cassia County, Idaho",63525,28986,2536,16,031
"Clark County, Idaho",53500,24370,69,16,033
"Clearwater County, Idaho",55885,29925,900,16,035
"Custer County, Idaho",60357,28913,497,16,037
"Elmore County, Idaho",55000,28599,3285,16,039
"Franklin County, Idaho",61679,27316,1367,16,041
"Fremont County, Idaho",67015,27427,1484,16,043
"Gem County, Idaho",65204,33032,2204,16,045
"Gooding County, Idaho",60938,29147,2043,16,047
"Idaho County, Idaho",54745,29657,1688,16,049
"Jefferson County, Idaho",77491,29028,2791,16,051
"Jerome County, Idaho",67347,28266,3571,16,053
"Kootenai County, Idaho",71949,36718,15857,16,055
"Latah County, Idaho",62258,33342,4751,16,057
"Lemhi County, Idaho",49216,32446,846,16,059
"Lewis County, Idaho",46484,27519,637,16,061
"Lincoln County, Idaho",62250,27335,602,16,063
"Madison County, Idaho",53025,21394,13963,16,065
"Minidoka County, Idaho",63594,29561,3229,16,067
"Nez Perce County, Idaho",65023,35387,5749,16,069
"Oneida County, Idaho",67383,28592,611,16,071
"Owyhee County, Idaho",58440,25106,1560,16,073
"Payette County, Idaho",62721,30102,2663,16,075
"Power County, Idaho",56671,24069,875,16,077
"Shoshone County, Idaho",44807,26176,2098,16,079
"Teton County, Idaho",88906,43396,1178,16,081
"Twin Falls County, Idaho",61183,32393,11126,16,083
"Valley County, Idaho",72878,34544,1628,16,085
"Washington County, Idaho",50046,26213,1894,16,087
"Adams County, Illinois",63767,34934,7731,17,001
"Alexander County, Illinois",40365,21922,1103,17,003
"Bond County, Illinois",58617,29944,2187,17,005
"Boone County, Illinois",80502,37055,5150,17,007
"Brown County, Illinois",64760,25951,465,17,009
"Bureau County, Illinois",64165,34873,4128,17,011
"Calhoun County, Illinois",88059,33062,364,17,013
"Carroll County, Illinois",61539,31882,1641,17,015
"Cass County, Illinois",64826,29842,1577,17,017
"Champaign County, Illinois",61090,35810,35991,17,019
"Christian County, Illinois",56933,29960,3816,17,021
"Clark County, Illinois",65874,33341,1371,17,023
"Clay County, Illinois",58028,32495,2048,17,025
"Clinton County, Illinois",78054,39409,2531,17,027
"Coles County, Illinois",53732,32395,8465,17,029
"Cook County, Illinois",78304,45646,687906,17,031
"Crawford County, Illinois",64163,32786,1632,17,033
"Cumberland County, Illinois",71274,34338,1000,17,035
"DeKalb County, Illinois",68617,34196,14841,17,037
"De Witt County, Illinois",61823,35630,1557,17,039
"Douglas County, Illinois",67177,32351,1833,17,041
"DuPage County, Illinois",107035,55107,57674,17,043
"Edgar County, Illinois",56687,31634,1946,17,045
"Edwards County, Illinois",60784,31081,870,17,047
"Effingham County, Illinois",73181,37844,3680,17,049
"Fayette County, Illinois",51962,28392,2964,17,051
"Ford County, Illinois",58930,31754,1578,17,053
"Franklin County, Illinois",51031,28310,6626,17,055
"Fulton County, Illinois",57223,32378,4223,17,057
"Gallatin County, Illinois",51868,36928,950,17,059
"Greene County, Illinois",58900,31536,1606,17,061
"Grundy County, Illinois",89993,42192,3114,17,063
"Hamilton County, Illinois",60574,29785,1021,17,065
"Hancock County, Illinois",61026,35154,2272,17,067
"Hardin County, Illinois",53026,31928,414,17,069
"Henderson County, Illinois",64946,34734,575,17,071
"Henry County, Illinois",66313,37212,4461,17,073
"Iroquois County, Illinois",62866,33347,2823,17,075
"Jackson County, Illinois",44847,29687,11449,17,077
"Jasper County, Illinois",67429,33353,845,17,079
"Jefferson County, Illinois",58384,30167,4980,17,081
"Jersey County, Illinois",77607,37352,1655,17,083
"Jo Daviess County, Illinois",67729,39477,1689,17,085
"Johnson County, Illinois",63295,27096,1865,17,087
"Kane County, Illinois",96400,44523,42558,17,089
"Kankakee County, Illinois",65489,32941,14520,17,091
"Kendall County, Illinois",106358,40761,6280,17,093
"Knox County, Illinois",50263,28840,7469,17,095
"Lake County, Illinois",104553,53677,54519,17,097
"LaSalle County, Illinois",67942,36060,14495,17,099
"Lawrence County, Illinois",55811,30393,1840,17,101
"Lee County, Illinois",64588,33491,3931,17,103
"Livingston County, Illinois",68175,34996,3451,17,105
"Logan County, Illinois",62547,33280,2842,17,107
"McDonough County, Illinois",48904,29658,4887,17,109
"McHenry County, Illinois",100101,46322,18641,17,111
"McLean County, Illinois",75356,40252,23023,17,113
"Macon County, Illinois",59622,34644,15510,17,115
"Macoupin County, Illinois",64706,33665,6453,17,117
"Madison County, Illinois",71759,38828,31245,17,119
"Marion County, Illinois",59099,30360,6157,17,121
"Marshall County, Illinois",64940,34369,1390,17,123
"Mason County, Illinois",58479,34223,1767,17,125
"Massac County, Illinois",57365,28817,1901,17,127
"Menard County, Illinois",84846,41497,964,17,129
"Mercer County, Illinois",67028,34455,1244,17,131
"Monroe County, Illinois",100685,47248,1481,17,133
"Montgomery County, Illinois",61796,30918,3640,17,135
"Morgan County, Illinois",61188,34098,3938,17,137
"Moultrie County, Illinois",72833,34849,1307,17,139
