NAME,B19013_001E,B19301_001E,B17001_002E,state,county
"Fairfax County, Virginia",145165,67598,67901,51,059
"Fauquier County, Virginia",122785,54878,4241,51,061
"Floyd County, Virginia",57146,31788,1453,51,063
"Fluvanna County, Virginia",90766,48426,1561,51,065
"Franklin County, Virginia",66275,37329,7046,51,067
"Frederick County, Virginia",92443,43375,6114,51,069
"Giles County, Virginia",61987,31917,1596,51,071
"Gloucester County, Virginia",83750,39450,2846,51,073
"Goochland County, Virginia",105600,63645,1009,51,075
"Grayson County, Virginia",43348,26270,2700,51,077
"Greene County, Virginia",81338,39180,2273,51,079
"Greensville County, Virginia",51823,22437,1090,51,081
"Halifax County, Virginia",49145,26440,4867,51,083
"Hanover County, Virginia",104678,49110,5620,51,085
"Henrico County, Virginia",82424,47865,27770,51,087
"Henry County, Virginia",43694,26097,8035,51,089
"Highland County, Virginia",57070,32704,230,51,091
"Isle of Wight County, Virginia",91680,45230,3771,51,093
"James City County, Virginia",100711,50984,5675,51,095
"King and Queen County, Virginia",70147,38904,1330,51,097
"King George County, Virginia",103264,44551,1846,51,099
"King William County, Virginia",79398,36145,1420,51,101
"Lancaster County, Virginia",62674,46405,1489,51,103
"Lee County, Virginia",41619,23257,5380,51,105
"Loudoun County, Virginia",170463,67251,15706,51,107
"Louisa County, Virginia",76594,40803,4120,51,109
"Lunenburg County, Virginia",54438,26486,1445,51,111
"Madison County, Virginia",74586,35772,1083,51,113
"Mathews County, Virginia",79054,48173,578,51,115
"Mecklenburg County, Virginia",51265,31010,5508,51,117
"Middlesex County, Virginia",69389,39111,990,51,119
"Montgomery County, Virginia",65270,32776,22144,51,121
"Nelson County, Virginia",64028,42837,1950,51,125
"New Kent County, Virginia",113120,49666,889,51,127
"Northampton County, Virginia",54693,37321,1983,51,131
"Northumberland County, Virginia",64655,45156,1767,51,133
"Nottoway County, Virginia",62366,27223,2652,51,135
"Orange County, Virginia",87309,41650,4670,51,137
"Page County, Virginia",56760,30146,2361,51,139
"Patrick County, Virginia",49180,32883,1964,51,141
"Pittsylvania County, Virginia",52619,28428,9714,51,143
"Powhatan County, Virginia",108089,47268,1305,51,145
"Prince Edward County, Virginia",57304,25205,2988,51,147
"Prince George County, Virginia",80318,31801,3040,51,149
"Prince William County, Virginia",123193,48958,28768,51,153
"Pulaski County, Virginia",59740,34870,4261,51,155
"Rappahannock County, Virginia",98663,54654,565,51,157
"Richmond County, Virginia",62708,27620,556,51,159
"Roanoke County, Virginia",80872,43125,6665,51,161
"Rockbridge County, Virginia",61903,37087,1983,51,163
"Rockingham County, Virginia",73232,37180,7161,51,165
"Russell County, Virginia",44088,25939,4925,51,167
"Scott County, Virginia",44535,26681,3523,51,169
"Shenandoah County, Virginia",62149,34170,5504,51,171
"Smyth County, Virginia",45061,26660,5460,51,173
"Southampton County, Virginia",67813,32218,1384,51,175
"Spotsylvania County, Virginia",105068,44881,10308,51,177
"Stafford County, Virginia",128036,48971,8268,51,179
"Surry County, Virginia",68655,36497,870,51,181
"Sussex County, Virginia",59195,28788,1198,51,183
"Tazewell County, Virginia",46508,27327,7035,51,185
"Warren County, Virginia",79313,37706,4771,51,187
"Washington County, Virginia",59116,33900,6303,51,191
"Westmoreland County, Virginia",56647,35850,2935,51,193
"Wise County, Virginia",47541,23702,6612,51,195
"Wythe County, Virginia",53921,31810,4811,51,197
"York County, Virginia",105154,47722,3262,51,199
"Alexandria city, Virginia",113179,75884,13760,51,510
"Bristol city, Virginia",45250,30419,2840,51,520
"Buena Vista city, Virginia",48783,32925,1334,51,530
"Charlottesville city, Virginia",67177,45625,10254,51,540
"Chesapeake city, Virginia",92703,42753,18669,51,550
"Colonial Heights city, Virginia",72216,37039,1826,51,570
"Covington city, Virginia",45737,24657,951,51,580
"Danville city, Virginia",41484,26453,10350,51,590
"Emporia city, Virginia",41442,24915,939,51,595
"Fairfax city, Virginia",128708,59688,2337,51,600
"Falls Church city, Virginia",164536,83001,338,51,610
"Franklin city, Virginia",57537,29683,1506,51,620
"Fredericksburg city, Virginia",83445,43063,4667,51,630
"Galax city, Virginia",44612,29802,1434,51,640
"Hampton city, Virginia",64430,35002,17890,51,650
"Harrisonburg city, Virginia",56050,25881,12123,51,660
"Hopewell city, Virginia",50661,25664,4867,51,670
"Lexington city, Virginia",93651,29117,696,51,678
"Lynchburg city, Virginia",56243,28478,12033,51,680
"Manassas city, Virginia",110559,42958,2014,51,683
"Manassas Park city, Virginia",91673,41595,863,51,685
"Martinsville city, Virginia",39127,27052,3217,51,690
"Newport News city, Virginia",63355,36135,26056,51,700
"Norfolk city, Virginia",60998,35761,36342,51,710
"Norton city, Virginia",36974,27666,1049,51,720
"Petersburg city, Virginia",46930,28146,7275,51,730
"Poquoson city, Virginia",114503,47329,560,51,735
"Portsmouth city, Virginia",57154,31457,16331,51,740
"Radford city, Virginia",51039,24835,4501,51,750
"Richmond city, Virginia",59606,42132,42324,51,760
"Roanoke city, Virginia",51523,33206,18635,51,770
"Salem city, Virginia",68402,37991,2186,51,775
"Staunton city, Virginia",59731,34581,2763,51,790
"Suffolk city, Virginia",87758,44004,8868,51,800
"Virginia Beach city, Virginia",87544,45320,36085,51,810
"Waynesboro city, Virginia",52519,30380,3562,51,820
"Williamsburg city, Virginia",66815,35264,1451,51,830
"Winchester city, Virginia",62495,36012,4539,51,840
"Adams County, Washington",63105,24609,4251,53,001
"Asotin County, Washington",63724,36800,3564,53,003
"Benton County, Washington",83778,39668,21647,53,005
"Chelan County, Washington",71876,39746,7212,53,007
"Clallam County, Washington",66108,38181,8289,53,009
"Clark County, Washington",90115,43872,44315,53,011
"Columbia County, Washington",68825,40774,367,53,013
"Cowlitz County, Washington",70912,35526,13253,53,015
"Douglas County, Washington",79422,39867,3402,53,017
"Ferry County, Washington",50424,31355,1114,53,019
"Franklin County, Washington",77877,31346,12619,53,021
"Garfield County, Washington",57958,31187,254,53,023
"Grant County, Washington",66387,29655,14019,53,025
"Grays Harbor County, Washington",59105,31703,10806,53,027
"Island County, Washington",82850,44217,5725,53,029
"Jefferson County, Washington",64796,44289,4473,53,031
"King County, Washington",116340,66811,187794,53,033
"Kitsap County, Washington",93675,47713,22101,53,035
"Kittitas County, Washington",66800,39399,6121,53,037
"Klickitat County, Washington",66581,38760,3132,53,039
"Lewis County, Washington",67247,32800,10018,53,041
"Lincoln County, Washington",68172,36741,1269,53,043
"Mason County, Washington",74388,37088,8387,53,045
"Okanogan County, Washington",58218,29777,7853,53,047
"Pacific County, Washington",58889,36899,3022,53,049
"Pend Oreille County, Washington",59353,33981,1730,53,051
"Pierce County, Washington",91486,43575,77932,53,053
"San Juan County, Washington",76745,59650,1954,53,055
"Skagit County, Washington",82029,41191,15305,53,057
"Skamania County, Washington",84500,42162,1036,53,059
"Snohomish County, Washington",104083,49215,62171,53,061
"Spokane County, Washington",70394,38052,64591,53,063
"Stevens County, Washington",62381,32904,6161,53,065
"Thurston County, Washington",88895,42306,27142,53,067
"Wahkiakum County, Washington",59167,31643,609,53,069
"Walla Walla County, Washington",66635,34476,6396,53,071
"Whatcom County, Washington",77581,40916,28469,53,073
"Whitman County, Washington",49345,30287,9796,53,075
"Yakima County, Washington",64910,27448,39239,53,077
"Barbour County, West Virginia",44341,24947,3278,54,001
"Berkeley County, West Virginia",73619,35909,13305,54,003
"Boone County, West Virginia",56182,26242,3543,54,005
"Braxton County, West Virginia",42245,21948,2196,54,007
"Brooke County, West Virginia",51963,30400,2353,54,009
"Cabell County, West Virginia",48944,30068,18063,54,011
"Calhoun County, West Virginia",39031,22982,2103,54,013
"Clay County, West Virginia",41530,23264,1947,54,015
"Doddridge County, West Virginia",56587,29652,974,54,017
"Fayette County, West Virginia",50090,24818,8388,54,019
"Gilmer County, West Virginia",51552,20653,614,54,021
