index,fips,annual_mean,annual_median,annual_std,annual_90th,n_days,days_above_35,month_1_mean,month_2_mean,month_3_mean,month_4_mean,month_5_mean,month_6_mean,month_7_mean,month_8_mean,month_9_mean,month_10_mean,month_11_mean,month_12_mean,DJF,JJA,MAM,SON,days_above_12.0,days_above_25.0,days_above_35.0,B19013_001E,NAME,county_name
0,01003,7.317391304347826,7.1,3.7409072554290774,10.8,920,0,6.3,6.811111111111112,7.366666666666666,6.83,8.566666666666666,11.690000000000001,5.045454545454546,5.34,8.08,7.94,7.51111111111111,6.4875,6.525925925925925,7.283870967741936,7.560714285714285,7.855172413793104,64,8,0,71039,"Baldwin County, Alabama","Baldwin County, Alabama"
1,01027,6.880869565217391,6.2,3.363372980608852,12.0,920,0,5.05,7.69,7.659999999999999,7.188888888888889,6.711111111111111,9.43,7.0181818181818185,6.211111111111111,7.025,6.85,6.36,5.166666666666667,5.996551724137931,7.58,7.203571428571428,6.7250000000000005,88,0,0,48074,"Clay County, Alabama","Clay County, Alabama"
2,01049,6.8559322033898304,6.55,3.202558425108978,11.5,944,0,7.0600000000000005,7.9375,5.177777777777778,6.959999999999999,7.140000000000001,9.120000000000001,7.409999999999999,7.31,6.33,6.65,5.95,5.418181818181818,6.679310344827586,7.946666666666667,6.468965517241379,6.3100000000000005,72,0,0,47920,"DeKalb County, Alabama","DeKalb County, Alabama"
3,01055,8.230602303237857,7.8,4.066463481001863,13.6,3212,0,7.770878395437262,8.623160178571428,7.9489161328125,8.771012048148147,8.079401308243726,10.907792985185184,8.756620806451613,7.385684096774193,7.685462962962962,8.060895168458782,8.532247477777778,6.065672334693877,7.503772506578947,8.99614392995169,8.269874221118013,8.092517180708182,525,3,0,52177,"Etowah County, Alabama","Etowah County, Alabama"
4,01073,8.689554544451596,8.0,3.857632461374264,13.8,10877,0,6.980434782608696,9.56512155867347,7.987837612648221,8.156603079365079,8.807289400665928,11.389817282560706,7.8948925582329315,7.334700984189723,9.297714324596773,9.453359086345381,9.53484386270492,7.30528083269962,8.05490505353902,8.786961167467398,8.305253427549195,9.428099146423751,1788,62,0,63595,"Jefferson County, Alabama","Jefferson County, Alabama"
5,01089,7.354993951622419,6.7,3.0819150641302855,11.5,6780,0,6.953846153846154,7.708333333333333,6.078571428571428,7.421779525568183,8.058322075675676,9.065894655844156,7.110656417989418,6.558290882681565,6.944241061111111,7.4577159918918925,8.022080719444444,6.063918944444445,6.325860587866108,7.49807645210728,7.627822057840618,7.47452363119266,546,0,0,78058,"Madison County, Alabama","Madison County, Alabama"
6,01097,7.956880733944954,7.6,3.66283640251536,12.279999999999996,872,0,8.033333333333333,6.283333333333334,7.922222222222222,6.859999999999999,9.14,11.6,5.827272727272727,5.5,8.629999999999999,9.34,8.36,7.58,7.242105263157894,7.583870967741936,7.975862068965518,8.776666666666667,96,8,0,55352,"Mobile County, Alabama","Mobile County, Alabama"
7,01101,7.7062857142857135,7.1,3.6318368950304674,11.7,1400,0,6.04,11.046153846153846,7.214285714285714,7.513333333333334,6.815384615384615,10.426666666666668,6.58125,6.053846153846154,7.926666666666667,9.046666666666665,8.066666666666666,6.00625,7.506818181818182,7.736363636363635,7.197619047619048,8.346666666666668,128,0,0,56707,"Montgomery County, Alabama","Montgomery County, Alabama"
8,01103,8.377482408866372,7.6,3.972055444693781,12.9,7895,19,7.461902364723468,9.468532969798657,7.033443267563527,7.414291987692307,8.782362811659192,10.314199544615384,7.983649079763664,8.094137908819134,8.607059355384616,8.24887050373692,10.905174467692307,6.468709723781388,7.731500934603502,8.779628452905811,7.746511096076459,9.244005257491112,1102,27,19,61588,"Morgan County, Alabama","Morgan County, Alabama"
9,01113,9.022986455513099,8.2,4.638354699582522,14.4,3664,0,9.621224966101694,11.51837279109589,11.784375877742947,9.618851374172184,8.246767523510972,10.842316512903226,6.647626178683386,7.068020015673982,8.25267764516129,8.494050980620155,8.602113458064515,7.752117823151126,9.590796061247216,8.160769256329113,9.88811474468085,8.44698222665148,640,54,0,47420,"Russell County, Alabama","Russell County, Alabama"
10,01119,6.842295587805652,6.3,3.4959550288664385,11.7,3149,0,4.707274362007168,5.9291232745901645,5.878583444444445,6.6447124552845525,7.843882795698924,10.186058225925926,6.477250192913386,5.3725921863799275,8.84175992962963,9.421344336917562,8.234776706806283,3.01112094265233,4.48895058478803,7.340486288916563,6.794984259950248,8.903611624324324,244,9,0,31726,"Sumter County, Alabama","Sumter County, Alabama"
11,01125,7.711594202898551,7.199999999999999,3.374440162990285,12.9,1104,0,5.590909090909091,10.5875,7.238461538461539,6.819999999999999,7.866666666666667,10.883333333333333,7.528571428571429,6.745454545454546,7.67,7.910000000000001,8.466666666666667,5.96,7.096551724137932,8.383783783783784,7.2700000000000005,8.04375,144,0,0,61645,"Tuscaloosa County, Alabama","Tuscaloosa County, Alabama"
12,02020,4.816920270558518,3.5,5.225231713664045,9.8,3563,9,10.156170283154122,5.1898697615384615,4.709476768025079,5.331548945392492,3.0840810921501705,7.6452419387096775,2.6566068213166143,0.9917969780564264,1.009212664516129,2.928642445614035,5.968164261589404,9.225825343065694,8.254383506765068,3.7277065537974683,4.384643856353591,3.28863392419175,206,54,9,95731,"Anchorage Municipality, Alaska","Anchorage Municipality, Alaska"
13,02090,15.784076433121019,5.5,27.311943625077415,46.2,10048,1256,16.609638554216865,10.814117647058824,7.509090909090909,4.1177570093457945,3.553684210526316,42.765584415584414,37.403333333333336,2.5150537634408603,3.11010101010101,5.8870000000000005,12.553932584269662,15.305882352941177,14.292592592592593,31.310579345088158,5.05514950166113,6.992708333333334,2976,1624,1256,81655,"Fairbanks North Star Borough, Alaska","Fairbanks North Star Borough, Alaska"
14,02110,5.101690755125952,3.3812499999999996,5.05143688036622,11.5,6828,0,7.7602964126984135,3.4915685884543763,2.609459751987281,2.7680677940199336,3.147536054054054,7.017938489619377,6.336741429149797,3.5552473437990586,4.0517213114754105,3.68629868115942,6.124899163934426,12.349616903020667,8.17946125528914,5.530375231714453,2.8427565451612904,4.615388360130364,610,57,0,95711,"Juneau City and Borough, Alaska","Juneau City and Borough, Alaska"
15,02170,3.928955721706226,2.1,5.449479558224566,9.7,2907,0,8.49935351291513,1.7086338214285715,1.8114104802867383,1.9878665814814815,2.037551024489796,5.759555459259259,1.5849849605734767,1.1072283189964158,1.4742452296296296,3.1223185974025975,16.288252533333335,10.416564870722434,6.963685860050891,2.7852747330917875,1.9411933274559194,4.2094232785571135,263,28,0,86435,"Matanuska-Susitna Borough, Alaska","Matanuska-Susitna Borough, Alaska"
16,04001,2.5888888888888886,2.1,1.7465885601183555,4.6,936,0,1.21,1.83,1.55,5.16,4.4799999999999995,3.788888888888889,3.07,2.94,2.675,1.9600000000000002,1.47,1.0699999999999998,1.37,3.2482758620689656,3.73,1.9892857142857143,0,0,0,37483,"Apache County, Arizona","Apache County, Arizona"
17,04012,3.98278872082072,3.3,3.178643364233433,7.580000000000018,2973,0,2.817158726530612,4.776464476190476,4.002840544802868,7.242053137037037,7.320345695340501,7.6134161279069765,3.91101655,2.8435630530612244,2.7616296603053434,2.62714794265233,1.5022149449152542,0.9173496732283464,2.832063585885486,4.519260667747163,6.1769605169082125,2.3308159253539253,76,9,0,46634,"La Paz County, Arizona","La Paz County, Arizona"
18,04013,8.340767767617367,6.6,6.287434823943803,14.5,30609,186,11.379979943151469,8.519904280939476,6.964847004286828,8.856706880382776,7.464164198181129,6.980276642713769,5.923031993464052,4.819883561931144,5.338900983183418,5.675757046892871,10.223996715070644,17.415944079218864,12.711202508941582,5.90281153602835,7.75085538545313,7.063900644151139,4791,625,186,80675,"Maricopa County, Arizona","Maricopa County, Arizona"
19,04019,5.567914762337371,5.2,3.133945551050281,9.6,8916,0,6.183778525723472,5.681637135273973,4.6004815848739495,7.025253068259385,7.065599800940439,6.014662947712418,4.037078690476191,3.409524509350935,3.5336281780045353,4.524742838604144,6.436055512883435,9.456561544622426,7.417990923076924,4.303343698709946,6.246254818031885,4.786241193190513,318,9,0,64323,"Pima County, Arizona","Pima County, Arizona"
20,04021,7.520595808096416,6.5,4.960821747644418,13.2,9708,27,7.793904312048193,7.145896239690721,7.238895729064039,10.686361691689008,10.132240147420148,10.064636324120602,7.979089075650117,5.27741236683417,5.858811832914573,5.716038322891567,6.14371028358209,6.482698606728539,7.132188922204214,7.777924575881871,9.316042425801012,5.904308269547325,1217,97,27,73313,"Pinal County, Arizona","Pinal County, Arizona"
21,04023,9.390757378592937,7.6,6.535805933091834,18.7,3653,17,16.821325695924767,11.932108643835617,8.11611011598746,8.832952312903226,7.547940999999999,6.492731739130435,5.112053215434083,4.282621302250804,5.139332632258064,7.216395210031348,14.307326391666667,17.359300620795107,15.486854929637527,5.249151152561247,8.159332830168777,8.433810727272727,747,134,17,51885,"Santa Cruz County, Arizona","Santa Cruz County, Arizona"
22,04027,8.263625276098473,7.0,5.077566521855826,14.3,3209,9,6.221263716845878,7.527219950819672,11.246266422939069,13.095,10.06154517562724,9.041957709016394,8.282421066420664,7.976058856630824,5.252404111111112,7.067707799283154,7.7320602581967215,5.580491992619926,6.40388863350126,8.408179107052897,11.449914777777778,6.654050805800757,505,54,9,56439,"Yuma County, Arizona","Yuma County, Arizona"
23,05001,7.800869565217392,7.3,4.487787721547839,13.5,920,0,5.566666666666666,7.044444444444444,6.7700000000000005,5.777777777777778,8.120000000000001,12.78,9.389999999999999,6.39,9.91,9.45,7.75,3.8818181818181823,5.365384615384615,9.520000000000001,6.927586206896552,9.036666666666667,120,8,0,58695,"Arkansas County, Arkansas","Arkansas County, Arkansas"
24,05003,7.834188034188035,7.0,4.323519311053734,11.9,936,0,6.171428571428571,7.3,6.536363636363637,5.9,8.89,13.85,7.8,5.6899999999999995,8.73,9.51,7.85,5.363636363636363,6.176923076923076,9.070967741935483,7.13,8.696666666666665,88,8,0,44804,"Ashley County, Arkansas","Ashley County, Arkansas"
25,05035,7.748305084745763,7.300000000000001,3.8988424864274793,12.2,944,0,6.0,8.677777777777777,6.9818181818181815,5.811111111111112,8.45,11.47,8.645454545454545,7.15,8.42,7.4799999999999995,8.620000000000001,4.918181818181818,6.451851851851852,9.074193548387097,7.12,8.173333333333334,96,8,0,51860,"Crittenden County, Arkansas","Crittenden County, Arkansas"
26,05051,8.205633802816902,7.75,3.811538700202096,12.3,1136,0,7.757142857142857,8.30909090909091,7.6,7.390000000000001,8.953846153846154,12.591666666666667,8.785714285714286,6.745454545454546,7.691666666666666,7.716666666666666,8.176923076923076,6.492857142857143,7.39375,9.413513513513514,8.030555555555557,7.87027027027027,120,8,0,54229,"Garland County, Arkansas","Garland County, Arkansas"
27,05067,8.019130434782609,7.3,4.602840503552151,14.0,920,0,5.328571428571428,7.933333333333334,6.2,4.644444444444444,7.95,11.99,9.527272727272727,8.09,9.75,11.02,7.122222222222222,5.28,6.211538461538462,9.858064516129033,6.320689655172414,9.37241379310345,144,8,0,41929,"Jackson County, Arkansas","Jackson County, Arkansas"
28,05113,7.886440677966102,7.4,4.042193481878311,12.2,944,0,5.871428571428572,7.444444444444445,7.263636363636365,6.611111111111111,10.940000000000001,12.5,9.372727272727273,6.74,7.43,7.529999999999999,6.27,5.990909090909091,6.444444444444445,9.53225806451613,8.293333333333333,7.076666666666666,96,8,0,48449,"Polk County, Arkansas","Polk County, Arkansas"
29,05119,8.90566265630311,8.0,4.775525236033844,14.4,10003,0,7.870085360201511,8.397424478547855,7.395006170160296,7.386059583979328,9.35717040753828,14.445002473969632,11.383605165099269,8.02989460557342,9.12056179775281,8.007455991847825,8.63552807416268,5.7574028737430165,7.185430318954248,11.274642279871976,8.076580853738703,8.623106856214461,1957,153,0,58326,"Pulaski County, Arkansas","Pulaski County, Arkansas"
30,05139,9.554237288135594,8.6,5.616211107261093,15.8,944,16,9.285714285714286,9.633333333333333,7.581818181818182,7.433333333333334,10.518181818181818,17.175,8.872727272727273,5.92,10.190000000000001,9.27,10.911111111111111,6.0,8.228,10.996969696969696,8.580645161290322,10.096551724137932,208,32,16,49745,"Union County, Arkansas","Union County, Arkansas"
31,05143,7.289655172413793,6.7,3.844538384952253,11.2,928,0,6.3,7.955555555555555,7.390000000000001,5.411111111111111,8.559999999999999,11.14,8.472727272727273,7.05,6.4,6.422222222222222,6.65,5.3,6.444444444444445,8.874193548387098,7.179310344827586,6.493103448275862,80,0,0,61985,"Washington County, Arkansas","Washington County, Arkansas"
32,06001,8.201400898582131,7.0,4.952528372821586,14.8,16151,9,12.037776548387095,9.690141589153658,6.324303827332844,7.23521480611424,7.424484688839615,6.8978895711111115,5.206582579668349,7.011943648295866,8.943892404444444,7.936600416243655,8.708201715350224,10.98262605376344,10.957415508859496,6.366168913994169,6.986625548900682,8.524989786784573,3032,110,9,122488,"Alameda County, California","Alameda County, California"
33,06007,7.7279857762369994,5.857143,6.4784515172918375,16.0,3173,18,14.748205484581499,7.461828238095237,4.414686623655914,4.041064324427481,2.334814725925926,3.0540208177966104,5.294824574074074,9.33092176702509,9.508945144444445,8.324329326164873,11.164424433333334,13.31126423297491,11.796920952506596,6.055641682802548,3.6015491948212084,9.651157103785104,571,99,18,66085,"Butte County, California","Butte County, California"
34,06009,6.044630088805503,5.0,4.092736699009167,11.8,3198,0,12.863093755980861,8.876775908730158,5.318699035842294,3.878760486166008,3.5788222258064515,3.0507071925925926,4.4877538817204305,5.275846594982078,7.6049449740740735,5.0430681218638,6.957941496296296,7.365330598566308,9.432785622972974,4.284704679951691,4.2709430764488285,6.518919844932845,306,18,0,77526,"Calaveras County, California","Calaveras County, California"
35,06011,7.657606436681222,6.7,4.736848928038107,13.1,3664,9,11.349845093203884,9.007084072368421,7.015822831353919,4.790101229007633,3.7983151888888886,4.31837407037037,4.755854888888889,6.653110159183674,9.748292407407408,9.638131311827959,8.074483303703705,9.37594475985663,10.19964696630237,5.192514486146095,5.492353656873032,9.158959802197803,505,27,9,69619,"Colusa County, California","Colusa County, California"
36,06013,8.262814072109407,7.3,4.908982291751471,14.2,7239,9,10.97621818488746,8.440995096830985,6.299549065176909,7.722037455017301,7.64136900482315,6.872812849673203,5.4792857993079584,7.6174387460317465,8.749353422580645,8.095354245980708,8.544187824193548,12.165412926984127,10.596650038461538,6.688008278021978,7.253383430051813,8.462570308270678,1350,96,9,120020,"Contra Costa County, California","Contra Costa County, California"
37,06019,10.878175011793514,8.1,8.757926467526142,22.8,20011,534,23.695641915640394,14.374121382241814,7.476465411764705,6.476595756902761,6.280287049859944,6.040169519562716,7.652941296534018,9.038890825456837,9.497678989759036,9.988603716470587,16.585280018226005,14.002933289459007,17.265751571228773,7.529350175097276,6.733654932773109,11.994835068118258,5956,1700,534,67756,"Fresno County, California","Fresno County, California"
38,06023,6.757758620689655,5.7,4.3370638831056185,13.0,928,0,8.879999999999999,8.629999999999999,6.42,6.17,5.575,5.2,4.081818181818182,3.9799999999999995,6.890000000000001,6.470000000000001,12.59,6.014285714285714,8.044444444444444,4.409677419354838,6.089285714285714,8.65,120,0,0,57881,"Humboldt County, California","Humboldt County, California"
39,06025,9.48036193493315,8.3,6.408319911931344,15.635000200000006,14585,138,8.33198079355687,6.1545061621621615,8.090433636489289,11.208801786226687,12.639367359809913,11.688831889985897,9.195589022114719,10.763853803278689,6.4322688777239705,8.012898341787439,8.686426428571428,10.837537679564692,8.106899091304347,10.532869671249397,10.651301641863698,7.696808680981595,3061,482,138,53847,"Imperial County, California","Imperial County, California"
40,06027,5.591994833101079,4.1,5.45088645823413,9.8,30857,176,7.203137196121478,5.5570145050940445,4.364407966763006,5.2170882864222,5.204663996839887,4.282092511439115,6.022589875675676,5.059769946980337,5.9936217742792115,4.530037032577904,6.342929610429447,7.482471956920905,6.783052304546015,4.962791777635692,4.903281173303642,5.5942454141051075,2387,601,176,63417,"Inyo County, California","Inyo County, California"
